TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
FICT3;3,77;;4,67;2,27;1,74;93,46;3,10;62,27;93,88;85,70;-7,68;-0,19;2,91;5,69;-2,71;6,84;48,68;37,26;-44,50;0,77;0,23;0,60;31,18;22,10;101.033,26;1,66;0,81;0,00;89.744.465,46
FIEI3;9,00;;-34,28;0,27;0,21;64,90;-14,12;-25,37;-61,58;-93,08;-31,50;0,14;8,70;2,03;-0,26;2,05;-0,80;-0,60;-0,61;0,75;0,25;0,02;-40,55;;3.787,89;32,79;-0,26;0,36;21.799.377,00
FIGE3;11,94;0,38;2,49;0,17;0,17;100,00;92,02;62,87;1,70;0,57;;;1,57;14.112,70;-0,17;;6,96;6,84;;0,98;0,02;0,11;8,36;1,46;0,00;68,86;4,79;0,10;9.457.960,56
FIGE4;0,00;;0,00;0,00;0,00;100,00;92,02;62,87;0,00;0,57;;;0,00;0,00;0,00;;6,96;6,84;;0,98;0,02;0,11;8,36;1,46;;68,86;4,79;0,00;9.457.960,56
FIQE3;3,85;6,62;7,98;1,16;0,61;50,76;25,34;17,02;5,36;5,78;0,39;0,08;1,36;6,51;-0,86;1,47;14,57;7,65;12,53;0,52;0,48;0,45;44,39;36,69;1.517.634,21;3,31;0,48;-0,29;1.393.890.994,65
FLEX3;0,00;;0,00;0,00;0,00;19,49;-100,31;-141,80;0,00;-0,43;-0,43;;0,00;0,00;0,00;0,11;-81,00;-290,31;80,12;-3,58;4,58;2,05;-5,08;;;-132,45;-107,28;0,00;0,00
FLRY3;12,86;7,88;11,46;1,31;0,54;27,89;15,59;8,02;5,90;8,53;2,55;0,57;0,92;2,68;-0,81;2,51;11,46;4,72;9,43;0,41;0,59;0,59;21,48;14,56;33.880.519,11;9,82;1,13;0,25;7.053.292.325,14
FNCN3;14,25;;-0,07;0,02;0,00;-45,24;-83,42;-50,05;-0,04;-0,04;;;0,03;0,02;-0,03;1,43;-28,51;-6,51;;0,23;0,77;0,13;18,40;;;739,68;-210,92;0,00;13.021.336,50
FRAS3;28,84;1,80;21,18;3,46;1,60;33,55;13,09;9,27;15,00;15,54;0,49;0,11;1,96;4,93;-4,35;2,05;16,33;7,55;10,43;0,46;0,54;0,81;23,77;58,39;6.163.804,89;8,34;1,36;-8,29;7.787.271.332,12
FRIO3;289,99;;-113,26;4,20;0,92;17,03;7,13;-0,74;11,68;15,65;3,96;1,42;0,83;7,53;-3,01;1,21;-3,71;-0,81;10,07;0,22;0,78;1,11;8,13;;96.436,47;69,10;-2,56;-1,16;1.822.962.107,07
FRTA3;1,31;;-0,49;-0,04;0,09;16,57;-16,43;-72,29;-2,17;-56,86;-54,68;;0,36;-0,03;-0,10;0,03;-7,17;-17,77;17,57;-2,48;3,48;0,25;7,62;;;-36,95;-2,65;-0,11;2.690.223,86
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;1,51;;-1,40;0,23;0,21;100,00;113,89;122,19;-1,50;-1,50;0,01;0,00;;9,24;-0,22;2,16;-16,08;-15,33;-14,37;0,95;0,05;-0,13;;;42.669,47;6,71;-1,08;0,00;173.735.145,88
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;33,00;18,16;3,74;;;13,64;24,48;59,30;9,07;9,15;0,00;;2,22;;;;;;;;;;1,08;26,61;4.705,68;0,00;8,82;0,03;3.146.516.989,56
GEPA4;32,44;17,90;3,80;;;13,64;24,48;59,30;9,20;9,15;0,00;;2,25;;;;;;;;;;1,08;26,61;6.991,47;0,00;8,82;0,03;3.146.516.989,56
GETT11;4,81;;15,12;2,48;0,16;41,43;18,41;17,71;14,55;;0,99;0,17;2,68;6,28;-3,92;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;;1,94;0,32;0,13;
GETT3;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GETT4;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GFSA3;1,41;;-4,64;0,10;0,04;-5,37;-5,88;-4,01;-3,16;-30,68;-27,48;0,84;0,19;0,18;-0,09;1,50;-2,08;-0,77;-2,49;0,37;0,63;0,19;20,38;;22.010.544,00;14,50;-0,30;0,06;188.405.880,60
GGBR3;15,01;5,33;6,75;0,53;0,35;13,73;11,17;6,81;4,12;4,89;0,72;0,09;0,46;1,41;-0,57;3,01;7,85;5,26;9,22;0,67;0,33;0,77;11,07;30,56;568.396,42;28,34;2,22;-0,17;31.478.139.725,49
GGBR4;15,52;5,16;6,97;0,55;0,37;13,73;11,17;6,81;4,25;4,89;0,72;0,09;0,48;1,46;-0,59;3,01;7,85;5,26;9,22;0,67;0,33;0,77;11,07;30,56;184.446.849,63;28,34;2,22;-0,18;31.478.139.725,49
GGPS3;15,12;2,14;15,58;2,94;0,71;15,14;8,66;4,45;8,01;9,75;1,71;0,62;0,69;2,33;-1,51;2,39;18,85;4,58;11,39;0,24;0,76;1,03;27,93;25,39;31.275.258,42;5,15;0,97;6,53;10.254.029.828,28
GMAT3;7,59;2,77;12,93;1,71;0,90;22,63;6,52;4,11;8,15;8,48;0,29;0,06;0,53;2,34;-2,44;2,56;13,23;6,95;15,58;0,53;0,47;1,69;31,90;31,32;27.062.300,79;4,43;0,59;1,62;17.043.401.341,72
GNDI3;66,95;;-3.584,81;5,84;2,38;18,55;3,28;-0,10;104,45;109,34;4,90;0,27;3,42;79,65;-3,01;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;;11,47;-0,02;35,34;41.526.443.086,05
GOAU3;8,85;5,09;5,72;0,15;0,10;13,73;11,15;2,30;1,18;1,87;0,70;0,09;0,13;0,40;-0,16;3,01;2,65;1,78;9,19;0,67;0,33;0,77;11,07;29,44;352.348,95;58,27;1,55;-0,14;8.716.826.332,79
GOAU4;8,65;5,20;5,60;0,15;0,10;13,73;11,15;2,30;1,16;1,87;0,70;0,09;0,13;0,39;-0,16;3,01;2,65;1,78;9,19;0,67;0,33;0,77;11,07;29,44;109.901.703,42;58,27;1,55;-0,14;8.716.826.332,79
GOLL4;1,30;;-0,68;-0,14;0,17;30,03;-1,03;-31,72;-21,01;-106,00;-103,18;;0,22;-0,22;-0,25;0,27;-20,86;-25,29;24,49;-1,21;2,21;0,80;6,65;;2.634.655,37;-9,08;-1,89;0,00;542.333.847,15
GPAR3;25,00;;53,19;2,54;2,36;53,61;50,85;119,66;125,17;112,94;-12,23;-0,25;63,65;7,98;-3,41;25,29;4,78;4,43;1,60;0,93;0,07;0,04;-31,17;-9,74;771,26;9,83;0,47;-0,65;1.991.912.550,00
GPIV33;3,87;;-1,37;0,11;0,09;100,00;247,04;144,49;-0,80;0,38;1,19;-0,16;;0,86;-0,11;2,93;-8,07;-6,70;-13,55;0,83;0,17;-0,05;;;43.668,11;34,88;-2,82;0,00;262.134.012,69
GRAO3;0,00;;0,00;0,00;0,00;7,26;6,41;1,21;0,00;0,48;0,48;0,29;0,00;0,00;0,00;0,91;11,60;2,69;24,99;0,23;0,77;2,23;41,49;65,96;;2,38;0,28;0,00;0,00
GRND3;5,31;12,50;6,53;1,19;1,07;47,21;21,21;27,97;8,61;6,68;-1,93;-0,27;1,83;1,84;-3,29;7,10;18,19;16,34;11,62;0,90;0,10;0,58;4,88;8,24;11.103.298,11;4,48;0,82;0,22;4.790.469.600,00
GSHP3;5,50;;-0,01;-0,01;0,01;67,40;-55,28;-451,69;-0,11;-22,75;-22,63;;0,06;0,42;-0,01;1,13;-53,15;-66,84;-12,56;-1,26;2,26;0,15;5,33;;821,05;-795,28;-422,69;0,00;10.608.229,50
GUAR3;8,21;1,46;17,47;0,76;0,30;58,98;7,91;2,44;5,39;6,07;0,65;0,09;0,43;1,45;-0,85;1,48;4,35;1,72;8,61;0,40;0,60;0,71;4,29;-16,88;10.938.485,16;10,82;0,47;-0,02;4.103.424.000,00
HAGA3;2,02;;9,38;-0,47;0,37;24,90;-2,66;8,68;-30,57;11,10;33,30;;0,81;0,70;-3,31;2,43;-5,00;3,92;3,98;-0,79;1,79;0,45;4,63;0,47;6.596,79;-4,31;0,22;2,93;17.374.000,28
HAGA4;1,18;;5,48;-0,27;0,21;24,90;-2,66;8,68;-17,86;11,10;33,30;;0,48;0,41;-1,94;2,43;-5,00;3,92;3,98;-0,79;1,79;0,45;4,63;0,47;6.838,95;-4,31;0,22;1,71;17.374.000,28
HAPV3;2,47;;-28,80;0,38;0,25;11,42;2,56;-2,25;25,23;30,91;5,37;0,08;0,65;3,21;-0,30;2,11;-1,33;-0,88;0,90;0,66;0,34;0,39;38,69;;134.367.639,68;6,46;-0,09;1,77;18.622.474.259,61
HBOR3;2,21;8,62;5,28;0,11;0,04;33,54;18,89;4,45;1,24;7,53;6,30;0,56;0,24;0,30;-0,08;1,52;2,08;0,84;4,48;0,40;0,60;0,19;-0,32;;1.813.830,89;20,26;0,42;0,47;298.487.890,56
HBRE3;3,73;;8,08;0,13;0,08;79,75;172,98;29,23;1,37;6,22;4,87;0,47;2,36;2,05;-0,08;1,64;1,62;0,94;5,92;0,58;0,42;0,03;19,12;-24,48;1.130.639,16;28,58;0,46;-0,13;384.894.899,13
HBSA3;2,85;;-3,50;2,29;0,30;0,47;-27,32;-45,97;-5,89;-16,83;-11,01;4,29;1,61;-3,18;-0,40;0,71;-65,57;-8,67;-7,07;0,13;0,87;0,19;7,59;;10.432.992,95;1,25;-0,82;0,00;2.174.694.358,98
HBTS3;0,00;;0,00;0,00;0,00;61,02;12,89;28,30;0,00;;34,29;0,37;0,00;0,00;0,00;1,38;2,34;0,94;-0,46;0,40;0,60;0,03;;;;70,06;1,64;0,00;
HBTS5;27,10;;16,55;0,39;0,16;61,02;12,89;28,30;36,34;;34,29;0,37;4,68;4,47;-0,18;1,38;2,34;0,94;-0,46;0,40;0,60;0,03;;;11.968,68;70,06;1,64;-0,17;
HBTS6;0,00;;0,00;0,00;0,00;61,02;12,89;28,30;0,00;;34,29;0,37;0,00;0,00;0,00;1,38;2,34;0,94;-0,46;0,40;0,60;0,03;;;;70,06;1,64;0,00;
HETA3;96,00;;60,97;-0,14;3,41;100,00;89,30;19,30;13,18;92,28;87,37;;11,77;-40,36;-4,54;0,75;-0,23;5,59;-12,91;-24,46;25,46;0,29;20,28;-9,79;0,00;-689,22;1,57;-0,61;18.240.817,33
HETA4;5,33;;3,39;-0,01;0,19;100,00;89,30;19,30;0,73;92,28;87,37;;0,65;-2,24;-0,25;0,75;-0,23;5,59;-12,91;-24,46;25,46;0,29;20,28;-9,79;256,74;-689,22;1,57;-0,03;18.240.817,33
HGTX3;37,50;;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-7,32;0,69;0,31;0,59;-7,54;-26,63;;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;68,12;81,40;49,86;0,00;0,06;-0,10;;0,00;0,00;0,00;0,53;-87,03;16,26;-136,66;-0,19;1,19;0,33;12,34;;;-5,07;4,42;0,00;21.315.133,80
HOOT4;2,70;;0,61;-0,53;0,10;68,12;81,40;49,86;0,37;0,06;-0,10;;0,30;-0,71;-0,12;0,53;-87,03;16,26;-136,66;-0,19;1,19;0,33;12,34;;36.773,79;-5,07;4,42;-0,02;21.315.133,80
HYPE3;23,45;4,56;18,39;1,27;0,61;56,39;15,15;12,08;14,66;22,21;7,45;0,64;2,22;12,15;-0,81;1,26;6,89;3,32;1,88;0,48;0,52;0,28;17,70;-7,02;64.964.014,32;18,53;1,28;-0,35;14.866.386.715,81
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IFCM3;0,09;;-0,04;-0,69;0,05;29,01;-148,96;-164,85;-0,05;-0,47;-0,43;;0,07;-0,15;-0,09;0,61;-1.675,87;-115,72;-228,33;-0,07;1,07;0,70;50,42;;2.706.374,68;-0,13;-2,20;0,00;71.814.348,18
IGBR3;175,99;;0,56;-0,34;1,04;100,00;6.032,01;5.379,32;0,50;1,06;0,56;;30,26;-0,99;-2,15;0,33;-60,10;184,10;-146,75;-3,06;4,06;0,03;-7,98;;;-520,56;312,87;0,00;220.074.791,04
IGSN3;0,00;;0,00;0,00;0,00;33,67;23,46;-12,15;0,00;12,84;12,84;1,97;0,00;0,00;0,00;1,01;-7,93;-1,66;2,79;0,21;0,79;0,14;23,90;;;7,21;-0,57;0,00;0,00
IGTA3;33,00;;14,69;1,44;0,84;64,50;57,16;34,80;8,95;10,47;1,53;0,25;5,11;4,17;-1,16;3,87;9,78;5,73;8,12;0,59;0,41;0,16;7,14;3,63;;22,97;2,25;0,71;5.444.845.626,00
IGTI11;20,19;3,34;20,32;1,88;0,96;67,11;58,31;32,33;11,27;9,69;2,26;0,38;6,57;5,64;-1,30;2,76;9,28;4,70;8,42;0,51;0,49;0,15;10,36;25,45;42.154.211,53;10,72;0,99;0,65;5.337.643.496,30
IGTI3;2,34;4,12;7,06;0,66;0,33;67,11;58,31;32,33;3,92;9,69;2,26;0,38;2,28;1,96;-0,45;2,76;9,28;4,70;8,42;0,51;0,49;0,15;10,36;25,45;117.870,79;3,57;0,33;0,23;5.337.643.496,30
IGTI4;9,00;3,22;27,16;2,52;1,28;67,11;58,31;32,33;15,06;9,69;2,26;0,38;8,78;7,54;-1,74;2,76;9,28;4,70;8,42;0,51;0,49;0,15;10,36;25,45;270,63;3,57;0,33;0,87;5.337.643.496,30
INEP3;1,98;;-0,38;-0,06;0,09;-48,00;-2.009,40;-5.286,12;-0,99;-11,40;-10,48;;19,93;-0,08;-0,11;0,08;-16,06;-24,94;17,08;-1,55;2,55;0,00;-19,65;;84.339,79;-32,69;-5,25;0,00;81.053.860,84
INEP4;1,45;;-0,28;-0,04;0,07;-48,00;-2.009,40;-5.286,12;-0,73;-11,40;-10,48;;14,60;-0,06;-0,08;0,08;-16,06;-24,94;17,08;-1,55;2,55;0,00;-19,65;;64.987,11;-32,69;-5,25;0,00;81.053.860,84
INNT3;0,00;;0,00;0,00;0,00;29,98;16,45;12,66;0,00;3,95;3,95;1,38;0,00;0,00;0,00;0,69;26,92;4,52;13,19;0,17;0,83;0,36;10,46;4,68;;2,50;0,67;0,00;0,00
INTB3;13,73;3,35;8,51;1,52;0,81;30,75;11,44;11,12;8,27;8,41;0,10;0,02;0,95;1,97;-3,02;2,27;17,83;9,50;13,58;0,53;0,47;0,85;22,88;22,80;28.405.958,79;9,06;1,61;-3,03;4.501.376.651,40
IRBR3;45,72;;4,65;0,76;0,23;12,82;13,05;13,30;4,74;4,74;;;0,62;16,67;-0,33;1,05;16,36;4,90;;0,30;0,70;0,37;-1,73;-7,81;47.610.355,53;60,19;9,85;-0,01;3.741.856.747,92
ISAE3;32,14;7,35;6,05;1,06;0,49;46,91;64,41;43,91;4,13;5,36;1,92;0,49;2,66;4,53;-0,60;2,43;17,43;8,08;13,54;0,46;0,54;0,18;19,24;14,69;108.156,47;30,46;5,31;0,26;17.652.197.812,68
ISAE4;23,40;10,11;4,40;0,77;0,36;46,91;64,41;43,91;3,00;5,36;1,92;0,49;1,93;3,29;-0,44;2,43;17,43;8,08;13,54;0,46;0,54;0,18;19,24;14,69;41.500.092,89;30,46;5,31;0,19;17.652.197.812,68
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;10,64;8,65;7,81;1,21;1,01;29,78;199,00;179,45;7,04;7,29;0,25;0,04;14,01;17,11;-1,13;2,17;15,56;12,89;15,31;0,83;0,17;0,07;10,46;7,46;1.235.868,47;8,76;1,36;0,80;115.243.729.646,34
ITSA4;10,63;8,67;7,79;1,21;1,00;29,78;199,00;179,45;7,03;7,29;0,25;0,04;13,99;17,08;-1,13;2,17;15,56;12,89;15,31;0,83;0,17;0,07;10,46;7,46;278.396.197,11;8,76;1,36;0,80;115.243.729.646,34
ITUB3;30,43;8,65;7,98;1,48;0,11;40,48;14,18;12,25;6,90;7,40;;;0,98;;-0,12;;18,57;1,44;;0,08;0,92;0,12;11,68;8,67;13.135.955,68;20,52;3,81;0,33;352.104.977.112,67
ITUB4;34,94;7,53;9,17;1,70;0,13;40,48;14,18;12,25;7,92;7,40;;;1,12;;-0,13;;18,57;1,44;;0,08;0,92;0,12;11,68;8,67;723.541.925,74;20,52;3,81;0,38;352.104.977.112,67
JALL3;4,07;1,66;-35,71;0,60;0,18;38,39;30,26;-1,59;1,87;6,37;4,46;1,42;0,57;0,89;-0,27;2,88;-1,67;-0,52;8,83;0,31;0,69;0,33;20,16;;1.494.819,42;6,84;-0,11;0,14;1.238.450.805,12
JBSS3;47,09;6,37;10,87;2,07;0,41;15,06;5,70;2,31;4,39;7,94;3,53;1,67;0,25;3,09;-0,72;1,47;19,09;3,82;11,57;0,20;0,80;1,65;15,31;9,64;306.485.587,47;22,71;4,34;-0,01;104.517.643.354,40
JFEN3;2,20;;-0,12;-0,28;0,03;-24,30;-101,76;-133,56;-0,16;-1,67;-1,51;;0,16;0,08;-0,37;1,83;-233,76;-26,00;-104,75;-0,11;1,11;0,19;-0,91;;36.344,37;-7,74;-18,10;0,00;27.101.184,00
JHSF3;5,27;7,04;4,21;0,62;0,27;57,11;76,11;53,14;2,94;5,36;2,42;0,51;2,24;2,00;-0,40;1,75;14,64;6,43;10,55;0,44;0,56;0,12;20,35;21,53;22.720.729,95;8,57;1,25;0,05;3.590.570.924,12
JOPA3;22,00;;9,89;0,30;0,10;21,13;4,96;1,06;2,12;6,44;4,32;0,62;0,11;0,29;-0,38;1,88;3,08;1,02;4,43;0,33;0,67;0,96;12,67;17,11;1.751,58;72,17;2,22;0,21;233.074.678,00
JOPA4;24,00;;10,79;0,33;0,11;21,13;4,96;1,06;2,32;6,44;4,32;0,62;0,11;0,32;-0,41;1,88;3,08;1,02;4,43;0,33;0,67;0,96;12,67;17,11;0,00;72,17;2,22;0,23;233.074.678,00
JSLG3;6,67;6,30;9,23;1,08;0,15;17,16;13,37;2,29;1,58;6,61;5,02;3,44;0,21;1,19;-0,24;1,54;11,71;1,66;11,64;0,14;0,86;0,73;23,90;-1,70;3.414.424,53;6,18;0,72;-0,22;1.913.359.601,04
KEPL3;7,87;10,48;7,10;1,91;0,89;29,94;17,99;12,39;4,89;4,60;-0,32;-0,12;0,88;2,67;-2,70;1,98;26,89;12,50;18,75;0,46;0,54;1,01;22,47;39,60;11.289.338,53;4,12;1,11;-0,33;1.414.397.423,10
KLBN11;18,73;6,63;12,64;2,68;0,39;37,52;22,89;9,32;5,15;12,31;7,15;3,73;1,18;3,48;-0,51;1,93;21,20;3,08;8,84;0,15;0,85;0,33;13,85;22,06;104.311.272,11;6,99;1,48;-0,39;23.149.088.888,13
KLBN3;3,82;6,47;12,96;2,75;0,40;37,52;22,89;9,32;5,28;12,31;7,15;3,73;1,21;3,57;-0,52;1,93;21,20;3,08;8,84;0,15;0,85;0,33;13,85;22,06;2.345.974,05;1,40;0,30;-0,40;23.149.088.888,13
KLBN4;3,74;6,64;12,62;2,68;0,39;37,52;22,89;9,32;5,14;12,31;7,15;3,73;1,18;3,47;-0,51;1,93;21,20;3,08;8,84;0,15;0,85;0,33;13,85;22,06;10.328.283,79;1,40;0,30;-0,39;23.149.088.888,13
KRSA3;8,87;;-3,87;0,75;0,14;20,03;11,75;-7,82;2,57;12,85;10,27;2,98;0,30;1,01;-0,20;2,00;-19,27;-3,71;6,68;0,19;0,81;0,47;38,69;;72.094,05;11,89;-2,29;-0,67;685.959.729,22
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,75;12.391.135.396,59
LAND3;12,82;0,56;168,52;1,73;1,31;93,04;29,89;10,73;60,49;65,48;4,43;0,13;18,08;-34,19;-1,38;0,56;1,03;0,78;2,21;0,76;0,24;0,07;13,88;-15,63;395.433,63;7,42;0,08;-2,13;1.235.554.192,08
LAVV3;10,12;9,75;5,77;1,14;0,57;33,76;25,62;22,11;4,98;4,70;-0,30;-0,07;1,28;0,94;-2,41;4,93;19,67;9,91;14,80;0,50;0,50;0,45;51,55;50,58;6.580.976,11;8,91;1,75;0,12;1.977.795.642,24
LCAM3;24,15;;14,72;0,72;0,64;16,38;10,19;9,82;14,17;9,05;-5,12;-0,26;1,44;2,04;-1,01;7,53;4,90;4,36;2,80;0,89;0,11;0,44;12,12;19,81;;33,50;1,64;0,93;12.285.815.275,65
LEVE3;30,99;7,63;7,76;5,45;1,17;28,50;19,09;11,88;4,83;5,67;0,82;0,92;0,92;7,04;-2,95;1,38;70,26;15,07;38,73;0,21;0,79;1,27;12,53;15,89;10.399.087,84;5,69;3,99;-0,28;4.198.998.220,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;5,06;;1,15;0,36;0,07;15,65;7,91;11,05;1,60;7,06;5,45;1,23;0,13;0,89;-0,10;1,42;31,50;6,49;7,30;0,21;0,79;0,59;2,13;4,36;5.498.862,00;14,01;4,41;0,00;1.888.855.492,68
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;41,38;0,93;20,69;2,08;2,04;;;;22,88;19,67;-3,21;-0,29;;6,86;-2,91;87,60;10,03;9,84;7,15;0,98;0,02;0,00;;12,29;217,79;19,93;2,00;8,39;486.831.106,82
LJQQ3;2,86;3,61;4.067,48;1,09;0,16;34,81;3,96;0,01;5,62;4,54;-1,12;-0,22;0,22;0,63;-0,56;1,56;0,03;0,00;8,35;0,15;0,85;0,72;14,68;-65,56;7.444.322,74;2,64;0,00;-40,98;593.852.544,81
LOGG3;20,08;8,55;5,14;0,49;0,26;97,57;222,05;156,27;3,62;7,40;3,77;0,51;8,03;4,63;-0,32;1,45;9,52;5,07;7,68;0,53;0,47;0,03;11,41;30,65;3.377.051,63;41,04;3,91;0,07;1.765.090.403,86
LOGN3;22,31;;44,66;2,47;0,63;15,89;12,57;1,92;6,81;10,82;3,96;1,44;0,86;22,81;-0,85;1,12;5,53;1,41;12,13;0,25;0,75;0,73;21,58;36,94;458.161,05;9,03;0,50;-4,13;2.394.007.702,66
LPSB3;1,40;2,94;10,95;0,91;0,50;83,67;23,50;9,67;4,51;2,91;-1,69;-0,34;1,06;4,76;-0,71;1,55;8,32;4,54;14,91;0,55;0,45;0,47;5,45;;108.664,47;1,51;0,13;-0,53;203.625.390,78
LREN3;14,34;4,75;12,73;1,41;0,75;60,56;8,72;8,29;12,10;10,73;-1,45;-0,17;1,06;3,26;-1,89;1,61;11,11;5,88;9,69;0,53;0,47;0,71;8,53;1,72;189.726.685,32;10,17;1,13;0,56;15.246.920.067,88
LTEL3B;86,61;0,64;22,19;4,97;4,95;;;;22,11;22,09;-0,03;-0,01;;447,18;-5,02;5,13;22,38;22,32;22,26;1,00;0,00;0,00;;-30,33;;17,44;3,90;-1,52;18.664.056.853,83
LUPA3;1,27;;-1,68;0,39;0,11;21,42;21,54;-25,80;2,02;8,66;6,64;1,27;0,43;1,21;-0,15;1,39;-22,96;-6,24;4,84;0,27;0,73;0,24;30,38;;140.867,16;3,28;-0,75;0,01;53.517.443,13
LUXM3;0,00;;0,00;0,00;0,00;30,10;15,80;27,21;0,00;6,19;-0,26;-0,04;0,00;0,00;0,00;0,97;24,25;17,83;7,38;0,74;0,26;0,66;2,77;23,40;;7,37;1,79;0,00;139.104.000,00
LUXM4;12,00;;6,72;1,63;1,20;30,10;15,80;27,21;11,56;6,19;-0,26;-0,04;1,83;-350,29;-1,37;0,97;24,25;17,83;7,38;0,74;0,26;0,66;2,77;23,40;126,05;7,37;1,79;0,07;139.104.000,00
LVTC3;2,94;;6,51;0,28;0,13;25,80;7,08;3,42;3,14;1,47;-1,72;-0,15;0,22;0,67;-0,23;1,76;4,30;1,97;6,91;0,46;0,54;0,58;10,59;7,48;61.076,16;10,49;0,45;-0,02;186.576.701,22
LWSA3;3,73;1,91;50,03;0,77;0,53;47,81;8,31;3,08;18,55;14,67;-4,13;-0,17;1,54;10,31;-0,79;1,18;1,54;1,05;3,23;0,68;0,32;0,34;28,85;18,48;32.526.414,58;4,88;0,08;-0,32;2.105.195.427,72
MAPT3;3,21;;-16,66;-0,46;3,82;;;;-16,76;-17,55;0,00;;;-226,90;-3,82;0,00;-2,77;-22,90;2,75;-8,28;9,28;0,00;;;16,89;-6,96;-0,19;-0,73;3.088.984,95
MAPT4;3,51;;-18,22;-0,50;4,17;;;;-18,33;-17,55;0,00;;;-248,10;-4,17;0,00;-2,77;-22,90;2,75;-8,28;9,28;0,00;;;98,21;-6,96;-0,19;-0,80;3.088.984,95
MATD3;4,75;1,58;-4,76;1,09;0,37;30,13;-15,09;-15,20;-4,80;-7,04;-2,23;0,51;0,72;1,60;-0,56;3,16;-22,92;-7,80;-17,61;0,34;0,66;0,51;24,89;;1.304.576,68;4,35;-1,00;0,01;1.612.283.118,75
MBLY3;1,15;;-0,95;0,73;0,07;46,16;-14,54;-18,39;-1,20;-4,03;-2,84;1,73;0,17;1,48;-0,11;1,16;-77,03;-7,35;-21,39;0,10;0,90;0,40;14,79;;332.166,68;1,58;-1,22;-0,01;141.177.913,45
